attribute1, attribute2,target
3.9400,1.4100,1.224
1.1700,-2.5300,-0.395
-2.4700,2.5500,-0.471
0.7900,2.4300,0.48300000000000004
-3.6400,3.6700,-0.5980000000000001
1.5700,-1.1600,-0.0010000000000000009
1.9200,2.9600,0.9279999999999999
-1.6200,2.3800,-0.25
0.5500,-1.4600,-0.367
-0.5900,3.4500,0.2730000000000001
0.4200,-2.4800,-0.61
-2.4400,-3.6000,-1.6920000000000002
1.2600,-2.5100,-0.364
2.9800,3.2000,1.294
0.7900,1.7300,0.343
-0.9400,-1.3500,-0.792
0.7200,-0.9100,-0.20600000000000002
-1.4700,-1.5900,-0.9990000000000001
0.2000,3.8800,0.5960000000000001
1.8700,0.9800,0.5170000000000001
-1.5800,2.3500,-0.24399999999999994
-1.9400,0.5500,-0.712
-3.5600,0.7400,-1.1600000000000001
-0.1700,0.8200,-0.12699999999999997
1.3300,2.3700,0.633
-2.1300,3.4700,-0.18499999999999983
-2.4900,-1.5000,-1.287
1.2700,2.2600,0.593
-1.1700,-3.5100,-1.293
-2.0000,2.7800,-0.28400000000000003
2.7300,-0.0300,0.573
-0.5700,3.7900,0.34700000000000003
-3.1600,-3.7400,-1.936
-3.0700,-1.7800,-1.5170000000000001
0.1300,3.2200,0.44300000000000017
-0.4300,3.3300,0.29700000000000004
-3.1500,-2.3300,-1.651
-1.9700,-0.5400,-0.939
-1.9600,-3.9000,-1.608
3.9900,0.8000,1.117
-3.3700,1.9800,-0.8549999999999999
2.2100,2.7500,0.973
-1.0900,-3.8700,-1.341
-3.2500,3.1900,-0.5769999999999998
-3.3500,-1.7100,-1.587
-2.8900,-0.1400,-1.135
0.8600,-1.6500,-0.312
0.3900,-3.3600,-0.795
-2.7500,3.7000,-0.32499999999999984
-1.0900,0.1300,-0.5409999999999999
3.3200,1.8000,1.1159999999999999
-2.4900,-3.9500,-1.7770000000000001
1.3400,3.8300,0.928
3.0300,2.3800,1.145
2.0000,0.4500,0.45
-0.3800,-0.9700,-0.548
3.3300,3.1200,1.383
0.7400,0.3100,0.04400000000000001
1.7500,-2.8200,-0.2789999999999999
1.9000,-0.9900,0.13199999999999995
-2.3400,-0.7500,-1.092
-0.1000,-1.7200,-0.6140000000000001
0.2400,2.8700,0.4060000000000001
-1.0300,2.4000,-0.06899999999999995
-1.3500,-2.1200,-1.069
-0.7500,0.5500,-0.355
-1.3700,-0.2300,-0.6970000000000001
3.8700,1.6100,1.243
3.3300,-0.0500,0.749
-0.2000,-0.6700,-0.434
1.7000,-2.3400,-0.19799999999999995
2.1400,0.5100,0.504
-3.3600,-2.8000,-1.8079999999999998
1.4300,0.3900,0.267
-0.1700,-1.9600,-0.683
0.5800,-2.2400,-0.514
-0.7300,3.2100,0.18300000000000005
2.9200,3.0600,1.2480000000000002
-2.6200,-0.6300,-1.1520000000000001
2.4900,-3.6400,-0.22100000000000009
-3.7400,-3.6700,-2.096
3.4000,0.5900,0.898
-2.7200,-3.1900,-1.694
-2.4800,-2.3000,-1.444
0.2400,-2.2300,-0.614
-1.2500,-3.8300,-1.381
3.6400,3.3000,1.512
2.3600,1.6300,0.794
3.5500,-3.8700,0.050999999999999934
1.2400,-2.1000,-0.28800000000000003
1.9100,1.6400,0.661
-2.9500,2.2900,-0.667
2.5500,2.1700,0.9589999999999999
-2.7100,2.2400,-0.6049999999999999
0.1000,-0.4400,-0.298
2.6500,-1.4900,0.25699999999999995
-0.0100,-3.8400,-1.0110000000000001
-0.6900,-2.8100,-1.009
